replication,existing situation,alternative1,alternative2
88,,0.2794197,0.3080516
89,,0.3433562,0.500415
90,,0.3516398,0.3262899
91,,0.3793602,0.3904919
92,,0.3032226,0.3457003
93,,0.2416632,0.4103249
94,,0.3738781,0.4129768
95,,0.4077282,0.412377
96,,0.4120503,0.3451727
97,,0.2478235,0.4947276
98,,0.4156899,0.2975212
99,,0.4684494,0.3753126
100,,0.2962866,0.5409916
101,,0.3222978,0.366371
102,,0.3759014,0.3323268
103,,0.4063839,0.4506938
104,,0.3112002,0.3416326
105,,0.4269433,0.4922659
106,,0.2498417,0.4777779
107,,0.2590939,0.462088
108,,0.3238335,
109,,0.3253336,
110,,0.3543253,
111,,0.3419309,
112,,0.4059037,
113,,0.4414559,
114,,0.3660608,
115,,0.3863155,
116,,0.4114677,
117,,0.3615885,
118,,0.2969637,
119,,0.3913291,
120,,0.4503858,
121,,0.3205292,
122,,0.3649445,
123,,0.4478397,
124,,0.3779575,
125,,0.4793127,
126,,0.4543402,
127,,0.3594171,
128,,0.545362,
129,,0.445875,
130,,0.3611988,
131,,0.5179922,
132,,0.3428592,
133,,0.4309331,
134,,0.3716581,
135,,0.4502711,
136,,0.3671562,
137,,0.2801382,
138,,0.3376812,
139,,0.4137463,
140,,0.3280627,
141,,0.3641922,
142,,0.356327,
143,,0.246662,
144,,0.3637998,
145,,0.4506102,
146,,0.2480143,
147,,0.2933863,
148,,0.4293377,
149,,0.2560616,
150,,0.3452514,
151,,0.3519099,
152,,0.5091607,
153,,0.5345954,
154,,0.3474257,
155,,0.559911,
156,,0.3005925,
157,,0.4011635,
158,,0.3465833,
159,,0.5230294,
160,,0.4183908,
161,,0.3259203,
162,,0.3166322,
163,,0.2823806,
164,,0.2992734,
165,,0.3658684,
166,,0.351858,
167,,0.3362084,
168,,0.3722751,
169,,0.3651092,
170,,0.3541845,
171,,0.4537034,
172,,0.3708019,
173,,0.3700651,
174,,0.474964,
175,,0.2942071,
176,,0.4304323,
177,,0.3177092,
178,,0.305191,
179,,0.3971198,
180,,0.3052676,
181,,0.4730586,
182,,0.3299548,
183,,0.4651268,
184,,0.5249061,
185,,0.4625824,
186,,0.4574534,
187,,0.2734493,
188,,0.2128661,
189,,0.3244832,
190,,0.2710381,
191,,0.3309833,
192,,0.3589982,
193,,0.3847412,
194,,0.4593455,
195,,0.3876881,
196,,0.5013657,
197,,0.3797211,
198,,0.4054804,
199,,0.3324937,
200,,0.4525748,
201,,0.4183117,
202,,0.4237872,
203,,0.3131503,
204,,0.4648266,
205,,0.3385476,
206,,0.2731176,
207,,0.360963,
208,,0.2771124,
209,,0.4538876,
210,,0.3635182,
211,,0.2289361,
212,,0.1969168,
213,,0.4056247,
214,,0.378165,
215,,0.3426977,
216,,0.3722892,
217,,0.4225186,
218,,0.4090711,
219,,0.2843329,
220,,0.2727511,
221,,0.351733,
222,,0.2911058,
223,,0.3361236,
224,,0.4450514,
225,,0.3716608,
226,,0.3445729,
227,,0.4059455,
228,,0.3184607,
229,,0.3451563,
230,,0.4333237,
231,,0.3763433,
232,,0.3506935,
233,,0.5063853,
234,,0.2553735,
235,,0.3356963,
236,,0.4013436,
237,,0.2712097,
238,,0.3399697,
239,,0.3327815,
240,,0.3744634,
241,,0.3207172,
242,,0.4679579,
243,,0.5078633,
244,,0.3762823,
245,,0.3179422,
246,,0.478224,
247,,0.4616818,
248,,0.3672688,
249,,0.3163111,
250,,0.3144054,
251,,0.2492845,
252,,0.2529678,
253,,0.4142348,
254,,0.4422659,
255,,0.4369777,
256,,0.3961824,
257,,0.4146943,
258,,0.4178953,
259,,0.4309523,
260,,0.2456179,
261,,0.3342112,
262,,0.3984208,
263,,0.30824,
264,,0.4036152,
265,,0.2848095,
266,,0.5582197,
267,,0.4579866,
268,,0.4536836,
269,,0.3767026,
270,,0.4109519,
271,,0.3138167,
