```,click_start_Date,click_start_Time,Click_EndDate,Click_EndTime,AdID,DisplayDate,DisplayTime,,,
439,2007-10-4,02:23:24,2007-10-4,02:23:30,774951427,2007-10-4,02:23:00,,,
429,2007-10-4,10:52:33,2007-10-4,10:52:59,805911404,2007-10-4,10:52:18,,,
499,2007-10-7,15:54:43,2007-10-7,15:54:56,770899050,2007-10-7,15:54:32,,,
493,2007-10-11,15:40:40,2007-10-11,15:40:46,511031003,2007-10-11,15:40:16,,,
297,2007-10-11,22:21:15,2007-10-11,22:21:55,935465753,2007-10-11,22:21:13,,,
96,2007-10-12,08:52:23,2007-10-12,08:52:47,341242768,2007-10-12,08:51:58,,,
431,2007-10-12,15:21:24,2007-10-12,15:21:26,497823280,2007-10-12,15:20:51,,,
430,2007-10-15,11:24:19,2007-10-15,11:24:20,669952766,2007-10-15,11:24:15,,,
431,2007-10-17,13:09:14,2007-10-17,13:09:14,492838165,2007-10-17,13:08:42,,,
443,2007-10-18,09:31:16,2007-10-18,09:31:47,921991189,2007-10-18,09:30:45,,,
390,2007-10-18,12:17:44,2007-10-18,12:17:53,386179731,2007-10-18,12:17:34,,,
429,2007-10-19,09:14:23,2007-10-19,09:14:29,770899050,2007-10-19,09:14:13,,,
51,2007-10-20,01:54:51,2007-10-20,01:55:03,648099808,2007-10-20,01:54:37,,,
490,2007-10-20,07:04:45,2007-10-20,07:04:57,692127912,2007-10-20,07:04:42,,,
16,2007-10-20,07:55:41,2007-10-20,07:56:18,503547027,2007-10-20,07:55:12,,,
479,2007-10-21,09:21:31,2007-10-21,09:21:31,492838165,2007-10-21,09:21:15,,,
178,2007-10-21,21:03:49,2007-10-21,21:04:06,90827216,2007-10-21,21:03:48,,,
341,2007-10-22,00:18:55,2007-10-22,00:19:32,794318409,2007-10-22,00:18:39,,,
36,2007-10-22,20:24:41,2007-10-22,20:25:10,188530138,2007-10-22,20:24:22,,,
349,2007-10-24,11:32:47,2007-10-24,11:33:37,363743428,2007-10-24,11:32:45,,,
137,2007-10-24,12:50:07,2007-10-24,12:50:29,511170206,2007-10-24,12:49:45,,,
360,2007-10-25,01:05:57,2007-10-25,01:06:21,441274285,2007-10-25,01:05:32,,,
351,2007-10-25,21:53:24,2007-10-25,21:53:40,963102658,2007-10-25,21:53:06,,,
495,2007-10-26,01:24:06,2007-10-26,01:24:11,528227334,2007-10-26,01:23:55,,,
155,2007-10-26,10:29:12,2007-10-26,10:29:53,771992253,2007-10-26,10:28:44,,,
488,2007-10-26,14:58:45,2007-10-26,14:59:15,417434750,2007-10-26,14:58:22,,,
375,2007-10-26,21:27:16,2007-10-26,21:27:23,53230239,2007-10-26,21:27:13,,,
424,2007-10-28,02:55:04,2007-10-28,02:55:08,491342115,2007-10-28,02:54:50,,,
430,2007-10-28,09:12:01,2007-10-28,09:12:04,821906208,2007-10-28,09:11:34,,,
484,2007-10-28,12:42:02,2007-10-28,12:42:19,149322228,2007-10-28,12:41:36,,,
428,2007-10-30,01:49:10,2007-10-30,01:49:23,805410058,2007-10-30,01:48:41,,,
95,2007-10-30,20:07:17,2007-10-30,20:07:38,335561018,2007-10-30,20:07:10,,,
489,2007-10-30,22:32:10,2007-10-30,22:33:05,469996285,2007-10-30,22:31:46,,,
416,2007-11-2,12:50:35,2007-11-2,12:50:59,249020964,2007-11-2,12:50:17,,,
485,2007-11-2,22:06:30,2007-11-2,22:06:38,498214019,2007-11-2,22:05:56,,,
432,2007-11-4,11:07:21,2007-11-4,11:07:27,646187283,2007-11-4,11:07:06,,,
425,2007-11-5,08:06:45,2007-11-5,08:07:11,491342115,2007-11-5,08:06:30,,,
86,2007-11-6,12:26:37,2007-11-6,12:26:55,124316143,2007-11-6,12:26:24,,,
469,2007-11-7,09:06:10,2007-11-7,09:06:50,113594200,2007-11-7,09:05:36,,,
421,2007-11-7,11:51:45,2007-11-7,11:51:51,975477771,2007-11-7,11:51:32,,,
343,2007-11-7,19:19:06,2007-11-7,19:20:00,59740381,2007-11-7,19:18:56,,,
62,2007-11-8,00:19:54,2007-11-8,00:19:57,54212017,2007-11-8,00:19:24,,,
248,2007-11-9,02:32:38,2007-11-9,02:33:18,335561018,2007-11-9,02:32:29,,,
442,2007-11-9,11:35:00,2007-11-9,11:35:04,958419967,2007-11-9,11:34:56,,,
498,2007-11-9,13:11:59,2007-11-9,13:12:00,692127912,2007-11-9,13:11:31,,,
317,2007-11-10,03:27:06,2007-11-10,03:27:11,63413648,2007-11-10,03:26:43,,,
497,2007-11-10,22:50:33,2007-11-10,22:50:46,64840406,2007-11-10,22:50:09,,,
452,2007-11-11,22:03:09,2007-11-11,22:03:15,198692112,2007-11-11,22:02:35,,,
24,2007-11-12,06:45:39,2007-11-12,06:45:51,911125292,2007-11-12,06:45:25,,,
424,2007-11-12,12:31:39,2007-11-12,12:31:41,251278161,2007-11-12,12:31:13,,,
497,2007-11-13,15:48:42,2007-11-13,15:48:59,458963060,2007-11-13,15:48:24,,,
492,2007-11-14,15:47:46,2007-11-14,15:48:26,538848730,2007-11-14,15:47:40,,,
414,2007-11-15,20:31:08,2007-11-15,20:31:10,341242768,2007-11-15,20:31:07,,,
488,2007-11-16,13:11:45,2007-11-16,13:12:35,213943638,2007-11-16,13:11:13,,,
483,2007-11-17,01:48:11,2007-11-17,01:48:26,175591702,2007-11-17,01:48:06,,,
288,2007-11-17,08:05:30,2007-11-17,08:05:40,58948366,2007-11-17,08:05:23,,,
498,2007-11-17,18:32:13,2007-11-17,18:32:16,25427930,2007-11-17,18:31:44,,,
500,2007-11-17,21:10:09,2007-11-17,21:10:21,115293061,2007-11-17,21:09:49,,,
78,2007-11-18,04:06:02,2007-11-18,04:06:05,268504394,2007-11-18,04:05:49,,,
495,2007-11-18,10:16:53,2007-11-18,10:17:24,884158067,2007-11-18,10:16:29,,,
485,2007-11-18,23:08:44,2007-11-18,23:08:49,250883241,2007-11-18,23:08:39,,,
450,2007-11-19,06:12:30,2007-11-19,06:13:13,485703482,2007-11-19,06:12:08,,,
194,2007-11-19,20:44:22,2007-11-19,20:44:59,315004189,2007-11-19,20:44:20,,,
414,2007-11-21,05:57:44,2007-11-21,05:58:02,588741327,2007-11-21,05:57:11,,,
454,2007-11-22,07:26:15,2007-11-22,07:26:34,204275796,2007-11-22,07:25:44,,,
490,2007-11-23,02:54:57,2007-11-23,02:55:28,946260883,2007-11-23,02:54:22,,,
309,2007-11-23,14:20:05,2007-11-23,14:20:22,104162676,2007-11-23,14:19:41,,,
488,2007-11-23,17:02:53,2007-11-23,17:03:49,901446233,2007-11-23,17:02:25,,,
480,2007-11-25,01:16:03,2007-11-25,01:16:11,340779530,2007-11-25,01:15:46,,,
146,2007-11-25,02:42:06,2007-11-25,02:42:12,949149696,2007-11-25,02:41:50,,,
145,2007-11-25,16:05:15,2007-11-25,16:05:24,599541550,2007-11-25,16:04:43,,,
498,2007-11-25,21:54:49,2007-11-25,21:55:00,501726250,2007-11-25,21:54:25,,,
418,2007-11-26,16:41:10,2007-11-26,16:41:20,571345793,2007-11-26,16:40:36,,,
455,2007-11-26,22:49:27,2007-11-26,22:49:28,441274285,2007-11-26,22:48:53,,,
427,2007-11-27,13:55:31,2007-11-27,13:55:55,410062486,2007-11-27,13:55:12,,,
422,2007-11-28,11:27:03,2007-11-28,11:27:09,930625610,2007-11-28,11:26:29,,,
500,2007-11-28,15:45:01,2007-11-28,15:45:29,507313935,2007-11-28,15:44:56,,,
487,2007-11-30,01:27:18,2007-11-30,01:27:22,811066572,2007-11-30,01:27:04,,,
415,2007-12-1,17:25:45,2007-12-1,17:26:01,54212017,2007-12-1,17:25:42,,,
465,2007-12-1,19:15:42,2007-12-1,19:15:55,243012928,2007-12-1,19:15:29,,,
415,2007-12-3,12:02:37,2007-12-3,12:02:52,721637978,2007-12-3,12:02:27,,,
338,2007-12-4,04:02:44,2007-12-4,04:03:31,734846677,2007-12-4,04:02:42,,,
457,2007-12-4,20:16:20,2007-12-4,20:16:25,149936005,2007-12-4,20:15:53,,,
420,2007-12-6,07:39:07,2007-12-6,07:39:29,478031767,2007-12-6,07:39:07,,,
482,2007-12-6,08:10:27,2007-12-6,08:10:49,848307909,2007-12-6,08:10:03,,,
446,2007-12-6,18:20:23,2007-12-6,18:21:13,149936005,2007-12-6,18:19:59,,,
258,2007-12-6,19:41:50,2007-12-6,19:42:41,993487538,2007-12-6,19:41:19,,,
424,2007-12-7,02:01:41,2007-12-7,02:02:05,43047917,2007-12-7,02:01:36,,,
498,2007-12-8,02:47:24,2007-12-8,02:47:40,257486418,2007-12-8,02:46:52,,,
350,2007-12-8,13:35:32,2007-12-8,13:36:08,228842167,2007-12-8,13:35:11,,,
488,2007-12-8,17:07:10,2007-12-8,17:07:25,973233580,2007-12-8,17:06:43,,,
478,2007-12-9,00:07:12,2007-12-9,00:07:22,764747665,2007-12-9,00:06:54,,,
268,2007-12-10,22:02:41,2007-12-10,22:02:56,363743428,2007-12-10,22:02:34,,,
474,2007-12-11,17:41:15,2007-12-11,17:41:48,22960951,2007-12-11,17:40:50,,,
474,2007-12-11,20:06:24,2007-12-11,20:06:48,645804531,2007-12-11,20:06:19,,,
484,2007-12-12,03:52:27,2007-12-12,03:52:40,462553365,2007-12-12,03:52:13,,,
118,2007-12-13,09:20:56,2007-12-13,09:21:16,376101238,2007-12-13,09:20:38,,,
32,2007-12-14,20:49:13,2007-12-14,20:49:15,148289366,2007-12-14,20:49:11,,,
478,2007-12-17,10:24:00,2007-12-17,10:24:29,315004189,2007-12-17,10:23:56,,,
55,2007-12-18,03:44:17,2007-12-18,03:44:31,970786556,2007-12-18,03:43:47,,,
362,2007-12-20,16:48:06,2007-12-20,16:48:48,378737768,2007-12-20,16:47:51,,,
292,2007-12-23,01:33:27,2007-12-23,01:33:47,973233580,2007-12-23,01:33:23,,,
490,2007-12-23,21:22:01,2007-12-23,21:22:09,729430770,2007-12-23,21:21:57,,,
392,2007-12-23,21:40:38,2007-12-23,21:41:07,161320363,2007-12-23,21:40:13,,,
456,2007-12-24,07:23:35,2007-12-24,07:23:36,330285214,2007-12-24,07:23:26,,,
480,2007-12-27,14:47:48,2007-12-27,14:48:03,845803536,2007-12-27,14:47:40,,,
263,2007-12-28,15:49:37,2007-12-28,15:49:51,556951804,2007-12-28,15:49:06,,,
447,2007-12-30,00:13:08,2007-12-30,00:13:26,781695978,2007-12-30,00:13:04,,,
438,2007-12-30,05:41:15,2007-12-30,05:41:42,967723720,2007-12-30,05:40:58,,,
451,2007-12-30,14:58:02,2007-12-30,14:58:11,993487538,2007-12-30,14:57:58,,,
487,2007-12-31,03:38:52,2007-12-31,03:39:34,499864274,2007-12-31,03:38:28,,,
476,2008-1-3,16:09:51,2008-1-3,16:10:23,209520711,2008-1-3,16:09:36,,,
301,2008-1-4,02:30:08,2008-1-4,02:30:10,101406288,2008-1-4,02:29:35,,,
415,2008-1-5,04:25:21,2008-1-5,04:25:51,492838165,2008-1-5,04:25:09,,,
181,2008-1-5,19:04:23,2008-1-5,19:04:46,667152805,2008-1-5,19:03:50,,,
402,2008-1-6,00:53:58,2008-1-6,00:54:51,834937677,2008-1-6,00:53:33,,,
484,2008-1-9,00:43:02,2008-1-9,00:43:22,380658047,2008-1-9,00:42:33,,,
426,2008-1-9,15:42:01,2008-1-9,15:42:05,372125285,2008-1-9,15:41:31,,,
456,2008-1-9,17:43:45,2008-1-9,17:44:06,726969374,2008-1-9,17:43:19,,,
431,2008-1-10,03:33:56,2008-1-10,03:34:01,844737783,2008-1-10,03:33:27,,,
476,2008-1-12,02:16:15,2008-1-12,02:16:25,64522193,2008-1-12,02:15:42,,,
494,2008-1-13,00:05:48,2008-1-13,00:05:49,890447896,2008-1-13,00:05:15,,,
487,2008-1-13,20:58:27,2008-1-13,20:58:40,239250584,2008-1-13,20:58:10,,,
56,2008-1-15,03:14:14,2008-1-15,03:14:23,526342322,2008-1-15,03:14:06,,,
451,2008-1-15,13:43:42,2008-1-15,13:43:44,709140187,2008-1-15,13:43:22,,,
495,2008-1-16,01:54:24,2008-1-16,01:54:48,886021472,2008-1-16,01:54:02,,,
352,2008-1-16,11:29:48,2008-1-16,11:30:17,468249675,2008-1-16,11:29:32,,,
424,2008-1-16,12:11:18,2008-1-16,12:11:43,633005550,2008-1-16,12:11:18,,,
494,2008-1-17,03:20:55,2008-1-17,03:21:13,236327583,2008-1-17,03:20:44,,,
426,2008-1-17,19:03:46,2008-1-17,19:04:30,60912883,2008-1-17,19:03:26,,,
450,2008-1-18,04:50:04,2008-1-18,04:50:09,339972746,2008-1-18,04:49:57,,,
323,2008-1-18,21:52:05,2008-1-18,21:52:50,504759291,2008-1-18,21:51:57,,,
488,2008-1-19,15:11:23,2008-1-19,15:11:41,733083757,2008-1-19,15:10:52,,,
425,2008-1-20,12:48:48,2008-1-20,12:49:07,107544776,2008-1-20,12:48:32,,,
478,2008-1-20,22:52:33,2008-1-20,22:53:01,196832652,2008-1-20,22:52:18,,,
492,2008-1-22,18:00:01,2008-1-22,18:00:18,709140187,2008-1-22,17:59:31,,,
461,2008-1-23,10:23:01,2008-1-23,10:23:24,315004189,2008-1-23,10:22:45,,,
416,2008-1-23,13:41:07,2008-1-23,13:41:16,302429738,2008-1-23,13:40:50,,,
196,2008-1-23,15:35:30,2008-1-23,15:35:32,107544776,2008-1-23,15:35:07,,,
494,2008-1-25,06:28:12,2008-1-25,06:28:33,81345445,2008-1-25,06:27:49,,,
490,2008-1-26,00:24:02,2008-1-26,00:24:37,588741327,2008-1-26,00:23:43,,,
471,2008-1-26,09:53:56,2008-1-26,09:53:59,129225204,2008-1-26,09:53:53,,,
427,2008-1-27,00:59:37,2008-1-27,00:59:51,88984273,2008-1-27,00:59:34,,,
225,2008-1-27,06:02:26,2008-1-27,06:03:04,812625339,2008-1-27,06:02:19,,,
493,2008-1-27,17:34:18,2008-1-27,17:34:26,751026459,2008-1-27,17:34:11,,,
129,2008-1-28,02:40:54,2008-1-28,02:40:57,500196182,2008-1-28,02:40:39,,,
325,2008-1-28,10:55:42,2008-1-28,10:56:24,646187283,2008-1-28,10:55:36,,,
467,2008-1-28,23:43:57,2008-1-28,23:44:04,958323706,2008-1-28,23:43:24,,,
449,2008-1-29,11:40:50,2008-1-29,11:41:09,977575373,2008-1-29,11:40:37,,,
487,2008-1-31,03:06:17,2008-1-31,03:07:10,681501521,2008-1-31,03:05:50,,,
186,2008-2-1,03:24:02,2008-2-1,03:24:13,727081265,2008-2-1,03:23:40,,,
420,2008-2-2,02:37:15,2008-2-2,02:37:26,782763467,2008-2-2,02:36:55,,,
479,2008-2-3,19:31:47,2008-2-3,19:31:51,598109790,2008-2-3,19:31:34,,,
440,2008-2-4,00:28:07,2008-2-4,00:28:11,663731349,2008-2-4,00:27:59,,,
412,2008-2-4,10:36:17,2008-2-4,10:36:23,443848750,2008-2-4,10:35:43,,,
490,2008-2-4,14:32:25,2008-2-4,14:33:19,657557396,2008-2-4,14:32:21,,,
492,2008-2-5,01:54:45,2008-2-5,01:55:04,902828529,2008-2-5,01:54:33,,,
417,2008-2-5,03:59:54,2008-2-5,04:00:04,441274285,2008-2-5,03:59:41,,,
444,2008-2-5,09:55:54,2008-2-5,09:56:00,453162781,2008-2-5,09:55:50,,,
431,2008-2-6,17:02:42,2008-2-6,17:02:44,372977360,2008-2-6,17:02:26,,,
451,2008-2-7,08:23:19,2008-2-7,08:23:29,787154066,2008-2-7,08:23:08,,,
128,2008-2-7,13:46:36,2008-2-7,13:47:27,370850529,2008-2-7,13:46:19,,,
492,2008-2-10,18:32:08,2008-2-10,18:32:28,407909346,2008-2-10,18:31:55,,,
499,2008-2-11,03:12:11,2008-2-11,03:12:19,227746218,2008-2-11,03:12:01,,,
445,2008-2-11,07:08:20,2008-2-11,07:08:43,645804531,2008-2-11,07:07:55,,,
482,2008-2-12,07:58:21,2008-2-12,07:58:38,940561927,2008-2-12,07:57:52,,,
422,2008-2-12,08:28:49,2008-2-12,08:29:15,187652627,2008-2-12,08:28:47,,,
463,2008-2-12,21:51:21,2008-2-12,21:51:25,214498657,2008-2-12,21:51:14,,,
