category,year,Number of companies,Profit from Purchas by Men,Profit from Purchas by 18-25 age,Profit from Purchas by 26-40 age,Profit from Purchas by 41-65 age,Profit from Purchas by 66+ age,category_Id
Baby & Kids,2012,16534,2761706433,9209773568,2573290040,5017792111,4932682569,12
Hobbies,2012,10097,12107421282,6083808022,11624876270,6964918465,11547543494,13
Jewerly,2012,12487,1914178966,2412618940,5261876696,7778931614,10901271161,14
Pets,2012,18406,3872344031,9051662495,9465006945,1188410489,4246336964,15
Fashion,2013,5686,17621066694,8890192483,10769640314,5554380776,3373116801,1
Shoes,2013,9727,13650474390,10576864183,5563565031,8118720403,4859454304,2
Makeup & Beauty,2013,5194,12362752385,2821239426,5343625708,1569515707,3346918668,3
Wallets & Bags,2013,19998,16905673868,1066796510,10026576021,1861637325,3877393114,4
Tops,2013,5394,8078800429,572269713,4025087698,526004538,5643155390,5
Bottoms,2013,17481,14122746983,903901236,1766336373,2815654810,7957659648,6
Accessories,2013,14579,14603139934,5048771714,5031957998,5971757954,6336155569,7
Watches,2013,17332,11571905231,9199678933,4721792657,5253042918,6981510673,8
Phone upgrade,2013,10156,6253158131,3544323260,4885788990,7097096082,4487149153,9
Home decor,2013,10498,2514200613,8174837791,2998516455,8440405026,2415464947,10
Gadgets,2013,12030,15677208527,9866310660,6090166021,2177179924,2495658391,11
Baby & Kids,2013,17138,18445366055,7847569278,9565982474,10386195260,7738754316,12
Hobbies,2013,13403,15014140386,7474811837,7899811666,8357647956,5051557923,13
Jewerly,2013,9806,8645526257,5984653190,3193253332,5608785408,3380478636,14
Pets,2013,9030,11882736246,11004821911,5222394381,1393069610,11203338896,15
Fashion,2014,5383,5794895301,7364263480,8421106574,10555544165,3504331903,1
Shoes,2014,14903,17094958149,4291974459,11359412436,5175825742,7042980370,2
Makeup & Beauty,2014,16342,11787597556,10232043585,7181207660,3020423398,11715809853,3
Wallets & Bags,2014,13176,3685338160,1002916216,4246963157,3655253533,1586276392,4
Tops,2014,16506,17357341273,6828752260,1244835043,3099273863,9718099638,5
Bottoms,2014,14285,4013219557,1187949550,11865990435,11802097899,10216905758,6
Accessories,2014,16192,12789455695,5772640251,4510579909,1719120149,10667260410,7
Watches,2014,15453,10865221137,1305151901,951166241,5476760576,3048544578,8
Phone upgrade,2014,5893,14839332912,945802850,6646439656,9422019998,5205104770,9
Home decor,2014,14331,13152450996,10643332776,1359038651,8265621178,11685683498,10
Gadgets,2014,5826,6293545430,8034909397,991731167,3136773693,4089691086,11
Baby & Kids,2014,19843,15534114164,3319378299,730635809,5331921896,6323727951,12
Hobbies,2014,5636,19830241285,2091436409,7318610113,9304551493,11188758268,13
Jewerly,2014,14479,17737689727,5156968741,6597928972,3192571128,6433299401,14
Pets,2014,16667,8507568275,3376687810,9030189612,7198370874,4374429397,15
Fashion,2015,19466,18429134967,3820839212,7644822191,7743783751,3709497707,1
Shoes,2015,19084,2178918859,1616525895,4755629571,6861590901,5146747931,2
Makeup & Beauty,2015,8538,18614655625,10276126562,2975187230,4440408903,624625807,3
Wallets & Bags,2015,15561,5031629307,8865759064,7914572458,1522373151,9514323899,4
Tops,2015,18693,12867777423,11745285809,2340570230,3501126252,8546665670,5
Bottoms,2015,17101,11728082584,4849617716,4453409859,5484066826,9378400977,6
Accessories,2015,6072,19775541632,7080812863,6607335131,6193082268,1197625922,7
Watches,2015,15035,5978672532,10943438079,10221855427,4880853589,1636926835,8
Phone upgrade,2015,6909,2103334830,5008380977,6079322874,4273660263,8616193468,9
Home decor,2015,19599,13266738997,1722383829,5777587808,11410557088,7016270767,10
Gadgets,2015,7409,18781452046,1966118015,5838406004,9745721918,5960216310,11
Baby & Kids,2015,8217,13280119089,775022678,6166941898,641935388,5912758637,12
Hobbies,2015,19073,4966543343,9880455135,1700500713,6225828583,5990830205,13
Jewerly,2015,11374,14232743672,6608690863,7520749635,9444271390,11030804535,14
Pets,2015,18717,12218409658,10839149753,2975338744,1644346127,9782611018,15
Fashion,2016,17206,2829266376,2054385081,1234762108,7420102386,3946141820,1
Shoes,2016,13462,19973588753,4617782879,5222394373,10859298392,970843303,2
Makeup & Beauty,2016,9859,19117352726,5474377216,3590881837,3461589213,10267175875,3
Wallets & Bags,2016,6140,5622251540,2622555309,11223519277,11799436755,10257797638,4
Tops,2016,5375,9871519874,10231144734,915062151,3073066413,720071065,5
Bottoms,2016,8429,8532178672,11763361242,845541556,11155704765,2208345733,6
Accessories,2016,13468,9681402157,1427802062,10540777345,5568753957,10453178969,7
Watches,2016,12769,15906747758,11322351015,1838313110,1855927470,7740987733,8
Phone upgrade,2016,14873,1813356782,3885680908,10304171130,2677479990,4385097466,9
Home decor,2016,7833,7523073245,7186918710,2471157516,10373647337,7930877372,10
Gadgets,2016,9307,7864642792,595369814,11764115183,8456932382,2747054854,11
Baby & Kids,2016,6251,17122162683,6162815316,7716953002,6902883893,1018681479,12
Hobbies,2016,14754,14381266276,10174900366,1312502583,4197012695,6028062850,13
Jewerly,2016,18684,7166403989,8219907304,8557664627,7305745330,7179903855,14
Pets,2016,5625,8407080813,9430810353,10599289018,7311070252,5254011734,15
Fashion,2017,17037,13791279056,3909504225,4618812160,4600239273,5538880024,1
Shoes,2017,17130,2060719371,9891908857,3769364417,2777520346,4205795892,2
Makeup & Beauty,2017,13477,10235322411,9688736324,2463386515,6516318452,1193438954,3
Wallets & Bags,2017,14568,16751102681,10737741979,10936875663,2055458632,2023360285,4
Tops,2017,16239,12341484022,8828578508,8951408797,1485240468,1477846548,5
Bottoms,2017,10538,12510094499,2823454533,2832741902,7475978151,8908136731,6
Accessories,2017,15601,9978564527,3954389653,2498859587,6948450392,4917560056,7
Watches,2017,14288,18092245183,5098405869,1768544172,4965846171,5060425758,8
Phone upgrade,2017,10185,10509847079,7257303836,2758887424,4823578370,5648948973,9
Home decor,2017,12028,5215463453,3224541026,10641855801,3913340864,9561287479,10
Gadgets,2017,7906,18785669005,8380593274,630064389,1164391510,802687077,11
Baby & Kids,2017,16214,9156160159,9064796342,5164479540,2651012955,774607916,12
Hobbies,2017,7150,12204012407,2967764513,2367341091,1481801414,11098230712,13
Jewerly,2017,13913,12251737568,8164489248,9280017815,7436161458,11301488429,14
Pets,2017,15497,10744207955,7154843621,2467738636,5743580588,2323162511,15
